run,group,set,metric,value
fp32,fp32,en_dev,sim,0.779245785176754
fp32,fp32,en_dev,wer,2.388
fp32,fp32,hard_dev,cer,6.057
fp32,fp32,hard_dev,sim,0.7984478962421417
fp32,fp32,zh_dev,cer,1.228
fp32,fp32,zh_dev,sim,0.8186797086397807
rand32_s0,random_draw,en_dev,sim,0.7754404136538505
rand32_s0,random_draw,en_dev,wer,2.346
rand32_s0,random_draw,hard_dev,cer,6.086
rand32_s0,random_draw,hard_dev,sim,0.7957820811867714
rand32_s0,random_draw,zh_dev,cer,1.166
rand32_s0,random_draw,zh_dev,sim,0.8153176655371984
rand32_s0_cs1,seed_repeat,en_dev,sim,0.7748677116632462
rand32_s0_cs1,seed_repeat,en_dev,wer,2.344
rand32_s0_cs1,seed_repeat,hard_dev,cer,6.382
rand32_s0_cs1,seed_repeat,hard_dev,sim,0.7989157411456108
rand32_s0_cs1,seed_repeat,zh_dev,cer,1.185
rand32_s0_cs1,seed_repeat,zh_dev,sim,0.8170364413658778
rand32_s0_cs2,seed_repeat,en_dev,sim,0.7736823301017285
rand32_s0_cs2,seed_repeat,en_dev,wer,2.481
rand32_s0_cs2,seed_repeat,hard_dev,cer,6.135
rand32_s0_cs2,seed_repeat,hard_dev,sim,0.7956246626377106
rand32_s0_cs2,seed_repeat,zh_dev,cer,1.251
rand32_s0_cs2,seed_repeat,zh_dev,sim,0.8175932665665945
rand32_s1,random_draw,en_dev,sim,0.7746787692606449
rand32_s1,random_draw,en_dev,wer,2.489
rand32_s1,random_draw,hard_dev,cer,6.289
rand32_s1,random_draw,hard_dev,sim,0.7973733672499657
rand32_s1,random_draw,zh_dev,cer,1.267
rand32_s1,random_draw,zh_dev,sim,0.8159409852822622
rand32_s2,random_draw,en_dev,sim,0.7745873777568341
rand32_s2,random_draw,en_dev,wer,2.708
rand32_s2,random_draw,hard_dev,cer,6.282
rand32_s2,random_draw,hard_dev,sim,0.7965604984760284
rand32_s2,random_draw,zh_dev,cer,1.357
rand32_s2,random_draw,zh_dev,sim,0.8164690379301707
rand32_s3,random_draw,en_dev,sim,0.7741804514825344
rand32_s3,random_draw,en_dev,wer,2.455
rand32_s3,random_draw,hard_dev,cer,6.473
rand32_s3,random_draw,hard_dev,sim,0.7949562534689903
rand32_s3,random_draw,zh_dev,cer,1.185
rand32_s3,random_draw,zh_dev,sim,0.8155211611588796
rand32_s4,random_draw,en_dev,sim,0.7767330801486969
rand32_s4,random_draw,en_dev,wer,2.602
rand32_s4,random_draw,hard_dev,cer,6.21
rand32_s4,random_draw,hard_dev,sim,0.7979089003801346
rand32_s4,random_draw,zh_dev,cer,1.162
rand32_s4,random_draw,zh_dev,sim,0.8170669345060985
rand32_s5,random_draw,en_dev,sim,0.7743448190391063
rand32_s5,random_draw,en_dev,wer,2.739
rand32_s5,random_draw,hard_dev,cer,6.325
rand32_s5,random_draw,hard_dev,sim,0.7968129730224609
rand32_s5,random_draw,zh_dev,cer,1.473
rand32_s5,random_draw,zh_dev,sim,0.8165104768673579
rand32_s6,random_draw,en_dev,sim,0.7769602546095848
rand32_s6,random_draw,en_dev,wer,2.416
rand32_s6,random_draw,hard_dev,cer,6.168
rand32_s6,random_draw,hard_dev,sim,0.7964725026488304
rand32_s6,random_draw,zh_dev,cer,1.358
rand32_s6,random_draw,zh_dev,sim,0.8164875374237697
rand32_s7,random_draw,en_dev,sim,0.7730067527294159
rand32_s7,random_draw,en_dev,wer,2.3
rand32_s7,random_draw,hard_dev,cer,6.174
rand32_s7,random_draw,hard_dev,sim,0.7969934153556824
rand32_s7,random_draw,zh_dev,cer,1.136
rand32_s7,random_draw,zh_dev,sim,0.8175510330994924
rand32_s8,random_draw,en_dev,sim,0.7757953278720379
rand32_s8,random_draw,en_dev,wer,2.615
rand32_s8,random_draw,hard_dev,cer,6.192
rand32_s8,random_draw,hard_dev,sim,0.7949534559249878
rand32_s8,random_draw,zh_dev,cer,1.281
rand32_s8,random_draw,zh_dev,sim,0.8168892848491669
rand32_s9,random_draw,en_dev,sim,0.7747587655484677
rand32_s9,random_draw,en_dev,wer,2.396
rand32_s9,random_draw,hard_dev,cer,6.091
rand32_s9,random_draw,hard_dev,sim,0.79700001090765
rand32_s9,random_draw,zh_dev,cer,1.154
rand32_s9,random_draw,zh_dev,sim,0.8165462972720464
